geoid,name,B01003001,"B01003001, Error"
14000US06037101110,"Census Tract 1011.10, Los Angeles, CA",4283,443
14000US06037101122,"Census Tract 1011.22, Los Angeles, CA",3405,334
14000US06037101210,"Census Tract 1012.10, Los Angeles, CA",6347,484
14000US06037101220,"Census Tract 1012.20, Los Angeles, CA",3702,276
14000US06037101300,"Census Tract 1013, Los Angeles, CA",3884,394
14000US06037101400,"Census Tract 1014, Los Angeles, CA",3458,377
14000US06037102103,"Census Tract 1021.03, Los Angeles, CA",1763,204
14000US06037102104,"Census Tract 1021.04, Los Angeles, CA",3721,381
14000US06037102105,"Census Tract 1021.05, Los Angeles, CA",1905,184
14000US06037102107,"Census Tract 1021.07, Los Angeles, CA",4349,267
14000US06037103101,"Census Tract 1031.01, Los Angeles, CA",2428,200
14000US06037103102,"Census Tract 1031.02, Los Angeles, CA",4734,345
14000US06037103200,"Census Tract 1032, Los Angeles, CA",6349,591
14000US06037103300,"Census Tract 1033, Los Angeles, CA",3781,337
14000US06037103400,"Census Tract 1034, Los Angeles, CA",6416,327
14000US06037104103,"Census Tract 1041.03, Los Angeles, CA",3431,517
14000US06037104105,"Census Tract 1041.05, Los Angeles, CA",6054,529
14000US06037104108,"Census Tract 1041.08, Los Angeles, CA",6001,471
14000US06037104124,"Census Tract 1041.24, Los Angeles, CA",3875,374
14000US06037104201,"Census Tract 1042.01, Los Angeles, CA",4569,458
14000US06037104203,"Census Tract 1042.03, Los Angeles, CA",5441,504
14000US06037104204,"Census Tract 1042.04, Los Angeles, CA",3679,315
14000US06037104310,"Census Tract 1043.10, Los Angeles, CA",4962,699
14000US06037104320,"Census Tract 1043.20, Los Angeles, CA",5292,551
14000US06037104401,"Census Tract 1044.01, Los Angeles, CA",3270,410
14000US06037104403,"Census Tract 1044.03, Los Angeles, CA",3341,394
14000US06037104404,"Census Tract 1044.04, Los Angeles, CA",3084,330
14000US06037104500,"Census Tract 1045, Los Angeles, CA",3025,468
14000US06037104610,"Census Tract 1046.10, Los Angeles, CA",3386,350
14000US06037104620,"Census Tract 1046.20, Los Angeles, CA",3528,358
14000US06037104701,"Census Tract 1047.01, Los Angeles, CA",4402,322
14000US06037104703,"Census Tract 1047.03, Los Angeles, CA",2174,251
14000US06037104704,"Census Tract 1047.04, Los Angeles, CA",4321,467
14000US06037104810,"Census Tract 1048.10, Los Angeles, CA",5631,588
14000US06037104821,"Census Tract 1048.21, Los Angeles, CA",3551,282
14000US06037104822,"Census Tract 1048.22, Los Angeles, CA",2839,341
14000US06037106010,"Census Tract 1060.10, Los Angeles, CA",3093,372
14000US06037106020,"Census Tract 1060.20, Los Angeles, CA",5420,455
